file_path,title,artist,album,genre,year,length
C:\Users\marius\Desktop\Musik\00er\Kelly Clarkson - Since U Been Gone.mp3,Since U Been Gone,Kelly Clarkson,Breakaway,Pop,2009-03-02,189.05135
C:\Users\marius\Desktop\Musik\00er\Kesha - Die Young.mp3,Die Young,Kesha,Die Young,,2012,213.28
C:\Users\marius\Desktop\Musik\00er\Kesha - TiK ToK.mp3,TiK ToK,Kesha,TiK-Tok - Remixes,,2009,200.18666666666667
C:\Users\marius\Desktop\Musik\00er\Kid Cudi - Day -'N-' Nite.mp3,Day 'N' Nite,Kid Cudi,Class Of '09,,2008,166.6
C:\Users\marius\Desktop\Musik\00er\Kid Cudi - Pursuit Of Happiness.mp3,Pursuit Of Happiness,Kid Cudi,Pursuit Of Happiness (Extended Steve Aoki Remix Explicit),,2010,373.62666666666667
C:\Users\marius\Desktop\Musik\00er\Lady Gaga - Just Dance.mp3,Just Dance,Lady Gaga,The Fame,,2008,241.93333333333334
C:\Users\marius\Desktop\Musik\00er\Lady Gaga - Poker Face.mp3,Poker Face,Lady Gaga,Poker Face (Remixes Part 1),,2008,229.06775510204082
C:\Users\marius\Desktop\Musik\00er\Lady Gaga - Starstruck.mp3,Starstruck,Lady Gaga,The Fame,,2008,217.12
C:\Users\marius\Desktop\Musik\00er\Lady Gaga - The Edge Of Glory.mp3,The Edge Of Glory,Lady Gaga,Born This Way (International Special Edition Version),,2011,320.5466666666667
"C:\Users\marius\Desktop\Musik\00er\Laserkraft 3D - Nein, Mann!.mp3","Nein, Mann!",Laserkraft 3D,"Polyester EP (incl. ""Nein, Mann!"")",,2010,350.0408163265306
C:\Users\marius\Desktop\Musik\00er\Lil Jon & The East Side Boyz - Get Low.mp3,Get Low,Lil Jon & The East Side Boyz,Kings Of Crunk,,2003,334.06666666666666
C:\Users\marius\Desktop\Musik\00er\Linkin Park - In the End.mp3,In the End,Linkin Park,Hybrid Theory (Bonus Edition),,2003,216.88
C:\Users\marius\Desktop\Musik\00er\Linkin Park - What I-'ve Done.mp3,What I've Done,Linkin Park,Minutes to Midnight,,2007,205.27020408163264
C:\Users\marius\Desktop\Musik\00er\LMFAO - Party Rock Anthem.mp3,Party Rock Anthem,LMFAO,Sorry For Party Rocking,,2010,262.14666666666665
C:\Users\marius\Desktop\Musik\00er\Macklemore & Ryan Lewis - Can-'t Hold Us (feat. Ray Dalton).mp3,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,The Heist,,2012,258.4318140589569
C:\Users\marius\Desktop\Musik\00er\Macklemore - And We Danced (feat. Ziggy Stardust).mp3,And We Danced (feat. Ziggy Stardust),Macklemore,The Unplanned Mixtape,,2015,246.21333333333334
C:\Users\marius\Desktop\Musik\00er\Marteria - Kids (2 Finger an den Kopf).mp3,Kids (2 Finger an den Kopf),Marteria,Zum Glück in die Zukunft II (Deluxe Version),,2013,229.5431746031746
C:\Users\marius\Desktop\Musik\00er\MGMT - Kids.mp3,Kids,MGMT,Oracular Spectacular,,2007,302.84
C:\Users\marius\Desktop\Musik\00er\Mike Candys - One Night in Ibiza.mp3,One Night in Ibiza,Mike Candys,One Night in Ibiza,,2011,272.86857142857144
"C:\Users\marius\Desktop\Musik\00er\Mike Candys, Evelyn, Patrick Miller - 2012 (If The World Would End) [Radio Mix feat. Evelyn & Patrick Miller].mp3",2012 (If The World Would End) [Radio Mix feat. Evelyn & Patrick Miller],"Mike Candys, Evelyn, Patrick Miller",2012 (If The World Would End) - EP,,2014,166.9631065759637
C:\Users\marius\Desktop\Musik\00er\Ne-Yo - Closer.mp3,Closer,Ne-Yo,Closer,,2008,235.78122448979593
C:\Users\marius\Desktop\Musik\00er\Ne-Yo - Miss Independent.mp3,Miss Independent,Ne-Yo,Year Of The Gentleman,,2008,232.0
C:\Users\marius\Desktop\Musik\00er\Nelly - Just A Dream.mp3,Just A Dream,Nelly,5.0 Deluxe,,2010,237.8
C:\Users\marius\Desktop\Musik\00er\Nelly Furtado - Promiscuous.mp3,Promiscuous,Nelly Furtado,Loose,,2007,242.29333333333332
C:\Users\marius\Desktop\Musik\00er\Owl City - Fireflies.mp3,Fireflies,Owl City,Ocean Eyes,,2009,228.34666666666666
C:\Users\marius\Desktop\Musik\00er\Peter Fox - Schwarz zu blau.mp3,Schwarz zu blau,Peter Fox,Stadtaffe,,2008,214.86666666666667
C:\Users\marius\Desktop\Musik\00er\Pitbull - Give Me Everything (feat. Nayer).mp3,Give Me Everything (feat. Nayer),Pitbull,Give Me Everything (feat. Nayer),,2011,256.18285714285713
C:\Users\marius\Desktop\Musik\00er\Pitbull - Hey Baby (Drop It to the Floor) (feat. T-Pain).mp3,Hey Baby (Drop It to the Floor) (feat. T-Pain),Pitbull,Hey Baby (Drop It to the Floor) (feat. T-Pain),,2010,236.02666666666667
C:\Users\marius\Desktop\Musik\00er\Pitbull - Hotel Room Service.mp3,Hotel Room Service,Pitbull,Hotel Room Service,,2009,238.50666666666666
C:\Users\marius\Desktop\Musik\00er\Pitbull - International Love (feat. Chris Brown).mp3,International Love (feat. Chris Brown),Pitbull,Planet Pit (Deluxe Version),,2011,227.28
C:\Users\marius\Desktop\Musik\00er\R.I.O - Summer Jam (Video Edit).mp3,Summer Jam (Video Edit),R.I.O,Summer Jam (feat. U-Jean) - EP,,2012,182.7004081632653
C:\Users\marius\Desktop\Musik\00er\R.I.O. - Animal.mp3,Animal,R.I.O.,Animal,,2014,212.5061224489796
C:\Users\marius\Desktop\Musik\00er\R.I.O. - Like I Love You.mp3,Like I Love You,R.I.O.,Sunshine,,2011,203.0
C:\Users\marius\Desktop\Musik\00er\R.I.O. - Party Shaker.mp3,Party Shaker,R.I.O.,Party Shaker,,2012,206.57632653061225
C:\Users\marius\Desktop\Musik\00er\R.I.O. - Shine On.mp3,Shine On,R.I.O.,Sunshine,,2008,202.0
C:\Users\marius\Desktop\Musik\00er\R.I.O. - Turn This Club Around.mp3,Turn This Club Around,R.I.O.,Ready or Not,,2011,201.4585260770975
C:\Users\marius\Desktop\Musik\00er\R.I.O. - When the Sun Comes Down.mp3,When the Sun Comes Down,R.I.O.,When The Sun Comes Down,,2009,202.7997052154195
C:\Users\marius\Desktop\Musik\00er\Rihanna - Disturbia.mp3,Disturbia,Rihanna,Good Girl Gone Bad: Reloaded,,2008,238.62666666666667
C:\Users\marius\Desktop\Musik\00er\Rihanna - Don-'t Stop The Music.mp3,Don't Stop The Music,Rihanna,Good Girl Gone Bad: Reloaded,,2008,267.08
C:\Users\marius\Desktop\Musik\00er\Rihanna - Hate That I Love You.mp3,Hate That I Love You,Rihanna,Good Girl Gone Bad: Reloaded,,2008,218.94666666666666
C:\Users\marius\Desktop\Musik\00er\Rihanna - Only Girl (In The World).mp3,Only Girl (In The World),Rihanna,Ultimate R&B: The Love Collection 2011 (Double Album),Pop,2011-01-01,235.78122448979593
C:\Users\marius\Desktop\Musik\00er\Rihanna - Umbrella.mp3,Umbrella,Rihanna,Good Girl Gone Bad: Reloaded,,2007,275.9866666666667
C:\Users\marius\Desktop\Musik\00er\Rihanna - We Found Love.mp3,We Found Love,Rihanna,Talk That Talk,,2011,215.22666666666666
C:\Users\marius\Desktop\Musik\00er\Rin - Bros.mp3,Bros,Rin,EROS (2018),Rap/Hip Hop,2018-01-12,196.1534693877551
C:\Users\marius\Desktop\Musik\00er\Rin - Monica Bellucci.mp3,Monica Bellucci,Rin,EROS (2018),Rap/Hip Hop,2018-01-12,204.094693877551
C:\Users\marius\Desktop\Musik\00er\Sean Kingston - Beautiful Girls.mp3,Beautiful Girls,Sean Kingston,Sean Kingston,,2007,241.93333333333334
C:\Users\marius\Desktop\Musik\00er\Sean Kingston - Fire Burning.mp3,Fire Burning,Sean Kingston,Tomorrow,,2009,239.98666666666668
C:\Users\marius\Desktop\Musik\00er\Sean Paul - Got 2 Luv U (feat. Alexis Jordan).mp3,Got 2 Luv U (feat. Alexis Jordan),Sean Paul,Tomahawk Technique,,2011,196.64
C:\Users\marius\Desktop\Musik\00er\Sean Paul - She Doesn-'t Mind.mp3,She Doesn't Mind,Sean Paul,Tomahawk Technique,,2011,227.78666666666666
C:\Users\marius\Desktop\Musik\00er\Seeed - Ding.mp3,Ding,Seeed,Next!,,2005,206.16
C:\Users\marius\Desktop\Musik\00er\Skrillex - Bangarang (feat. Sirah).mp3,Bangarang (feat. Sirah),Skrillex/ Sirah,Bangarang EP,Dance,2011-12-27,215.25333333333333
C:\Users\marius\Desktop\Musik\00er\Snoop Dogg - Drop It Like It-'s Hot.mp3,Drop It Like It's Hot,Snoop Dogg,R&G (Rhythm & Gangsta): The Masterpiece,,2004,266.06666666666666
C:\Users\marius\Desktop\Musik\00er\Snoop Dogg - Sweat (Snoop Dogg Vs. David Guetta).mp3,Sweat (Snoop Dogg Vs. David Guetta),Snoop Dogg,Sweat/Wet,,2011,343.2751020408163
C:\Users\marius\Desktop\Musik\00er\Soulja Boy - Crank That (Soulja Boy).mp3,Crank That (Soulja Boy),Soulja Boy,souljaboytellem.com,,2008,221.93333333333334
C:\Users\marius\Desktop\Musik\00er\Swedish House Mafia - One (Your Name).mp3,One (Your Name),Swedish House Mafia/ Pharrell Williams,One (Your Name),Dance,2010-01-01,351.44
C:\Users\marius\Desktop\Musik\00er\T.I. - Live Your Life.mp3,Live Your Life,T.I.,Paper Trail,,2008,338.85333333333335
C:\Users\marius\Desktop\Musik\00er\Taio Cruz - Hangover.mp3,Hangover,Taio Cruz,Hangover,,2011,244.50666666666666
C:\Users\marius\Desktop\Musik\00er\Taio Cruz - Higher.mp3,Higher,Taio Cruz,Higher,,2011,202.61709750566894
C:\Users\marius\Desktop\Musik\00er\Taio Cruz - There She Goes.mp3,There She Goes,Taio Cruz,There She Goes,,2014,208.61176870748298
C:\Users\marius\Desktop\Musik\00er\The Hitmen - Like I Love You (Vocal Club Mix).mp3,Like I Love You (Vocal Club Mix),The Hitmen,Like I Love You,Electro/Dance/Disco,2007-01-31,476.7948752834467
C:\Users\marius\Desktop\Musik\00er\The Toten Crackhuren Im Kofferraum (TCHIK) - Ich und mein Pony.mp3,Ich und mein Pony,The Toten Crackhuren Im Kofferraum (TCHIK),"Jung, talentlos und gecastet",,2013,189.1265306122449
C:\Users\marius\Desktop\Musik\00er\Timbaland - The Way I Are.mp3,The Way I Are,Timbaland,Shock Value,,2013,179.12
C:\Users\marius\Desktop\Musik\00er\Usher - DJ Got Us Fallin-' In Love (feat. Pitbull).mp3,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,Versus,,2010,220.8
C:\Users\marius\Desktop\Musik\00er\Usher - Yeah! (feat. Lil Jon & Ludacris).mp3,Yeah! (feat. Lil Jon & Ludacris),Usher,Confessions (Expanded Edition),,1998,250.37333333333333
C:\Users\marius\Desktop\Musik\00er\Wheatus - Teenage Dirtbag.mp3,Teenage Dirtbag,Wheatus,Wheatus,,2000,241.71102040816328
C:\Users\marius\Desktop\Musik\00er\will.i.am - Scream & Shout.mp3,Scream & Shout,will.i.am,#willpower,,2014,283.4
C:\Users\marius\Desktop\Musik\00er\Wiz Khalifa - Black and Yellow.mp3,Black and Yellow,Wiz Khalifa,Rolling Papers,,2010,217.66666666666666
C:\Users\marius\Desktop\Musik\00er\Yeah Yeah Yeahs - Heads Will Roll.mp3,Heads Will Roll,Yeah Yeah Yeahs,Heads Will Roll (A-Trak Remix),,2009,383.8933333333333
C:\Users\marius\Desktop\Musik\00er\Yung Hurn - Bianco.mp3,Bianco,Yung Hurn/ Rin,In Memory of Yung Hurn - Classic Compilation,Rap/Hip Hop,2016-12-23,234.17133786848072
C:\Users\marius\Desktop\Musik\5 Uhr banger\Günther - Ding Dong Song.mp3,Ding Dong Song,Günther,Ding Dong Song,,2004,245.15975056689342
C:\Users\marius\Desktop\Musik\5 Uhr banger\Günther - Teeny Weeny String Bikini.mp3,Teeny Weeny String Bikini,Günther,Teeny Weeny String Bikini,,2004,240.45714285714286
C:\Users\marius\Desktop\Musik\5 Uhr banger\Lighthouse Family - High.mp3,High,Lighthouse Family,Postcards From Heaven,Pop,1997-01-01,309.6666666666667
C:\Users\marius\Desktop\Musik\5 Uhr banger\Marteria - Lila Wolken.mp3,Lila Wolken,Marteria,Lila Wolken - EP,,2012,228.05333333333334
C:\Users\marius\Desktop\Musik\5 Uhr banger\MoTrip - So wie du bist.mp3,So wie du bist,MoTrip,Mama,,2015,268.5155328798186
C:\Users\marius\Desktop\Musik\5 Uhr banger\Natasha Bedingfield - Unwritten.mp3,Unwritten,Natasha Bedingfield,Unwritten,,2005,259.3333333333333
C:\Users\marius\Desktop\Musik\5 Uhr banger\Robbie Williams - Angels.mp3,Angels,Robbie Williams,Angels,,2004,265.3333333333333
C:\Users\marius\Desktop\Musik\alter stuff\50 Cent - Candy Shop (Dots Per Inch Remix) (Clean Extended).mp3,Candy Shop (Dots Per Inch Remix) (Clean Extended),50 Cent,,Tech House,2020,224.73142857142858
C:\Users\marius\Desktop\Musik\alter stuff\50 Cent - In Da Club (Acapella).mp3,In Da Club (Acapella),50 Cent,,Hip Hop,,175.807275
C:\Users\marius\Desktop\Musik\alter stuff\50 Cent - In Da Club (Dirty).mp3,In Da Club (Dirty),50 Cent,,Hip Hop,,227.164025
C:\Users\marius\Desktop\Musik\alter stuff\Avicii - Levels (Clean Extended).mp3,Levels (Clean Extended),Avicii,,Progressive House,2011,335.412225
C:\Users\marius\Desktop\Musik\alter stuff\Avicii vs NGHTMRE & Slander ft Matthew Santos - Levels (R-You Bootleg) (Clean).mp3,Levels (R-You Bootleg) (Clean),Avicii vs NGHTMRE & Slander ft Matthew Santos,,Trap,2020,88.37224489795918
C:\Users\marius\Desktop\Musik\alter stuff\CRO - Bye Bye (MTV Unplugged).mp3,Bye Bye,CRO,MTV Unplugged,Rap/Hip Hop,2015-07-03,204.12081632653062
C:\Users\marius\Desktop\Musik\alter stuff\CRO - Whatever.mp3,Whatever,CRO,Whatever (Maxi Edition),Rap/Hip Hop,2013-06-28,191.48603174603176
C:\Users\marius\Desktop\Musik\alter stuff\David Guetta - Satisfaction.mp3,Satisfaction,"David Guetta, Benny Benassi",Satisfaction,Dance,2022-08-12,155.67673469387756
C:\Users\marius\Desktop\Musik\alter stuff\Don Diablo ft Zak Abel - Bad (Dirty Extended).mp3,Bad (Dirty Extended),Don Diablo ft Zak Abel,,Dance Pop,2020,240.3787755102041
C:\Users\marius\Desktop\Musik\alter stuff\Flo Rida ft T-Pain - Low (Dirty).mp3,Low (Dirty),Flo Rida ft T-Pain,,Hip Hop,2007,228.858775
C:\Users\marius\Desktop\Musik\alter stuff\Jay-Z & Kanye West - Niggas In Paris (Dirty).mp3,Niggas In Paris (Dirty),Jay-Z & Kanye West,,Hip Hop,2011,218.174675
C:\Users\marius\Desktop\Musik\alter stuff\Jay-Z & Kanye West vs DJ Snake & Eptic - Niggas In Paris (BPM Supreme Bootleg) (Dirty).mp3,Niggas In Paris (BPM Supreme Bootleg) (Dirty),Jay-Z & Kanye West vs DJ Snake & Eptic,,Trap,2019,131.2391836734694
C:\Users\marius\Desktop\Musik\alter stuff\Jay-Z & Kanye West vs Kuuro - Niggas In Paris (BPM Supreme Trap Bootleg) (Dirty).mp3,Niggas In Paris (BPM Supreme Trap Bootleg) (Dirty),Jay-Z & Kanye West vs Kuuro,,Trap,2019,172.8261224489796
C:\Users\marius\Desktop\Musik\alter stuff\Kendrick Lamar - HUMBLE. (Skrillex Remix) (Dirty) (Extended).mp3,HUMBLE. (Skrillex Remix) (Dirty) (Extended),Kendrick Lamar,,Trap,2017,204.85225
C:\Users\marius\Desktop\Musik\alter stuff\LMFAO ft Lil Jon vs W&W & Hardwell - Shots (BPM Supreme Bootleg) (Dirty).mp3,Shots (BPM Supreme Bootleg) (Dirty),LMFAO ft Lil Jon vs W&W & Hardwell,,Electro House,2018,120.0326530612245
C:\Users\marius\Desktop\Musik\alter stuff\Migos ft Lil Uzi Vert - Bad & Boujee (ZHU Remix) (Dirty) (Extended).mp3,Bad & Boujee (ZHU Remix) (Dirty) (Extended),Migos ft Lil Uzi Vert,www.bpmsupreme.com,Deep House,,323.10857142857145
C:\Users\marius\Desktop\Musik\alter stuff\Post Malone ft 21 Savage vs Skrillex & Diplo vs John Carpenter - Rockstar (BPM Supreme Halloween Bootleg) (Dirty).mp3,Rockstar (BPM Supreme Halloween Bootleg) (Dirty),Post Malone ft 21 Savage vs Skrillex & Diplo vs John Carpenter,,Trap,2019,102.4261224489796
C:\Users\marius\Desktop\Musik\alter stuff\Skrillex - HUMBLE. (SKRILLEX REMIX).mp3,HUMBLE. (SKRILLEX REMIX),Skrillex/Kendrick Lamar,HUMBLE. (SKRILLEX REMIX),Rap/Hip Hop,2017-09-29,156.8
C:\Users\marius\Desktop\Musik\alter stuff\The Black Eyed Peas - Boom Boom Pow (Dirty) (1).mp3,Boom Boom Pow (Dirty),The Black Eyed Peas,,Hip Hop,2009,251.141225
C:\Users\marius\Desktop\Musik\alter stuff\The Black Eyed Peas - Boom Boom Pow (Dirty).mp3,Boom Boom Pow (Dirty),The Black Eyed Peas,,Hip Hop,2009,251.141225
C:\Users\marius\Desktop\Musik\alter stuff\The Weeknd - Blinding Lights (Major Lazer Remix) (Clean Extended).mp3,Blinding Lights (Major Lazer Remix) (Clean Extended),The Weeknd,,Moombahton,2020,209.2930612244898
